Surname,Awards,Education,DBLP Info
Khan,0,"Khan was a Bright Sparks scholar and received his PhD degree in Computer Science from University of Malaya.[14] He received his master's degree and bachelor's degree (with honors) in Computer Science from COMSATS University under COMSATS scholarship. He has also attended a summer camp on Advance Wireless Networks at Technische Universität Ilmenau under DAAD scholarship.",60
Aalst,0,"Born in Eersel, Netherlands, van der Aalst received an MSc in computing science in 1988 at the Technische Universiteit Eindhoven (TU/e), and a PhD in mathematics in 1992 with the thesis ""Timed colored Petri nets and their application to logistics"" under supervision of Jaap Wessels and Kees van Hee.[2] In 1992 he started working at the Eindhoven University of Technology as an assistant professor for the department of Mathematics and Computing Science, where he headed the Specification and Modeling of Information Systems (SMIS) research group. From 2000 to 2003, he",1113
Aaronson,4,"Aaronson grew up in the United States, though he spent a year in Asia when his father—a science writer turned public-relations executive—was posted to Hong Kong.[6] He enrolled in a school there that permitted him to skip ahead several years in math, but upon returning to the US, he found his education restrictive, getting bad grades and having run-ins with teachers. He enrolled in The Clarkson School, a gifted education program run by Clarkson University, which enabled Aaronson to apply for colleges while only in his freshman year of high",228
Abebe,0,"Abebe was born and raised in Addis Ababa, Ethiopia.[5] She was educated in the Ethiopian National Curriculum at Nazareth School before winning a competitive merit-based scholarship to attend the International Community School of Addis Ababa for high school.[5] Abebe attended Harvard University where she earned a Bachelor of Arts degree in mathematics and later a Master of Science degree in applied mathematics. As an undergraduate, she co-authored research papers in mathematics, physics, and public health.[6][7] While at Harvard, Abebe contributed to The Harvard Crimson as a staff writer, where she",40
Abelson,5,"Abelson graduated with a Bachelor of Arts degree in mathematics from Princeton University in 1969 after completing a senior thesis on Actions with fixed-point set: a homology sphere, supervised by William Browder.[1] [7] He received his PhD in mathematics from the Massachusetts Institute of Technology in 1973 after completing his research on Topologically distinct conjugate varieties with finite fundamental group supervised by Dennis Sullivan.[8][9] Abelson has a longstanding interest in using computation as a conceptual framework in teaching. He directed the first implementation of Logo for the Apple II, which",50
Abiteboul,7,"The son of two hardware store owners, Abiteboul attended high-school in Romorantin, and Higher School Preparatory Classes in Tours.[13] He was admitted to the Télécom Paris engineering school and studied at the Technion in Haifa for a year.[14] Abiteboul received his PhD from the University of Southern California under the supervision of Seymour Ginsburg, in 1982.[15][3]",312
Abramsky,5,"Abramsky was educated at Hasmonean Grammar School for Boys, Hendon and at King's College, Cambridge (BA 1975, MA Philosophy 1979, Diploma in Computer Science) and Queen Mary, University of London (PhD Computer Science 1988, supervised by Richard Bornat).[3]",214
Adleman,1,"Leonard M. Adleman was born to a Jewish[2] family in California. His family had originally immigrated to the United States from modern-day Belarus, from the Minsk area.[2] He grew up in San Francisco and attended the University of California, Berkeley, where he received his B.A. degree in mathematics in 1968 and his Ph.D. degree in EECS in 1976.[1][3] He was also the mathematical consultant on the movie Sneakers.[4] In 1996, he became a member of the National Academy of Engineering[5] for contributions to the theory of computation and cryptography. He",54
Ahn,4,"Luis von Ahn was born in and grew up in Guatemala City. Von Ahn grew up in a wealthy household with both of his parents working as physicians. He is a Guatemalan of German descent. His mother was one of the first women in Guatemala to complete medical school, and had von Ahn at age 42 despite being single.[9] He attended the American School of Guatemala, a private English-language school in Guatemala City, an experience he cites as a great privilege.[10][11] When von Ahn was eight years old, his mother",39
Allen,7,"Allen grew up on a farm in Peru, New York, near Lake Champlain, as the oldest of six children. Her father was a farmer, and her mother an elementary schoolteacher.[9] Her early elementary education took place in a one-room school house a mile away from her home, and she later attended a local high school.[10] She graduated from The New York State College for Teachers (now part of the University at Albany, SUNY) with a Bachelor of Science degree in mathematics in 1954 and began teaching school in Peru, New",21
Amdahl,3,"Amdahl was born to immigrant parents of Norwegian and Swedish descent in Flandreau, South Dakota. After serving in the Navy during World War II he completed a degree in engineering physics at South Dakota State University in 1948. He went on to study theoretical physics at the University of Wisconsin–Madison under Robert G. Sachs.[2][3][4] However, in 1950, Amdahl and Charles H. ""Charlie"" Davidson, a fellow PhD student in the Department of Physics, approached Harold A. Peterson with the idea of a digital computer.[5] Amdahl and Davidson gained the support of",11
Anderson,1,"Anderson received a BA in mathematics from Wesleyan University, and MS and PhD degrees in mathematics and computer science from the University of Wisconsin–Madison. While in graduate school he published four research papers in computer graphics.[1] His PhD research involved using enhanced attribute grammars to specify and implement communication protocols.[2]",79
Anthony,0,"Lisa Anthony earned her B.S. and M.S. in computer science with official concentrations in artificial intelligence, human-computer Interaction, and software engineering at Drexel University. Her M.S. thesis involved using genetic programming to evolve board evaluation functions for the strategy board game Acquire.[citation needed] As a summer graduate intern, she worked on the Collaborative Exploratory Search project at the Fuji-Xerox Palo Alto Laboratory (FXPAL).[citation needed] In 2008, she earned her Ph.D. from the Human Computer Interaction Institute in the School of Computer Science at Carnegie Mellon University in 2008. Her Ph.D.",77
Appel,0,"Andrew Appel is the son of mathematician Kenneth Appel, who proved the Four-Color Theorem in 1976.[2] Appel graduated summa cum laude with an A.B. in physics from Princeton University in 1981 after completing a senior thesis, titled ""Investigation of galaxy clustering using an asymptotically fast N-body algorithm"", under the supervision of Nobel laureate James Peebles.[3] He later received a Ph.D. (computer science) at Carnegie Mellon University, in 1985.[4] He became an ACM Fellow in 1998, due to his research of programming languages and compilers.[5] In 1981, Appel developed a better",134
Aragon,1,"Aragon received her B.S. in mathematics from the California Institute of Technology in 1982, M.S. from the University of California, Berkeley in 1987 and, Ph.D. in computer science from the same institution in 2004. For her doctoral studies, Aragon worked under the direction of Marti Hearst.[4] In September 2020, Aragon's memoir, Flying Free, was published by Blackstone Publishing.[15] Her autobiography was listed in September 2020 Ms. Magazine book list.[16] Her book won the 2021 PNWA Nancy Pearl award.[17]",81
Jones,0,"Angie Jones was born in New Orleans, Louisiana. She attended Marion Abramson Senior High School in New Orleans, LA. After graduating from high school, she enrolled as a Business major at Tennessee State University. However, after taking an introductory C++ course which sparked her interest in tech, she changed her major to Computer Science.[3][4] She has a Bachelor of Science in Computer Science from Tennessee State University. In 2010, she obtained a Master's Degree in Computer Science from North Carolina State University[5][6]",0
Asprey,0,"Asprey attended Vassar College in Poughkeepsie, New York, where she earned her undergraduate degree in 1938. As a student there, Asprey met Grace Hopper, the ""First Lady of Computing,"" who taught mathematics at the time. After graduating, Asprey taught at several private schools in New York City and Chicago before going on to earn her MS and PhD degrees from the University of Iowa in 1942 and 1945, respectively.[2] Her doctoral advisor was the topologist Edward Wilson Chittenden.[5] Asprey returned to Vassar College as a professor. By then, Grace Hopper",0
Atanasoff,1,"Atanasoff was born on October 4, 1903, in Hamilton, New York to an electrical engineer and a school teacher.[6] Atanasoff's father, Ivan Atanasov, was of Bulgarian origin, born in 1876 in the village of Boyadzhik, close to Yambol, then in the Ottoman Empire. While Ivan Atanasov was still an infant, his own father was killed by Ottoman soldiers after the Bulgarian April Uprising.[7] In 1889, Ivan immigrated to the United States with his uncle. John's father later became an electrical engineer, whereas his mother, Iva Lucena Purdy (of mixed French",2
Atre,0,"Atre was born in 1940 in India and grew up in Panvel, a village near Mumbai.[7][8] She earned a Master of Science from the University of Poona, studying mathematics and statistics.[9][10] During her education, she also studied languages, gaining proficiency in speaking five different languages.[1] Atre went on to begin her graduate studies in mathematics and physics at the University of Heidelberg, writing her thesis on astronomy.[9][10][11] Because she needed to make large scale calculations to develop her thesis, she began studying computer programming, which led to an interest in",0
